1	C'	ce	CLS	CLS		2	suj	2	suj	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	3	1	5	_	3	5	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	est	être	V	V	n=s|t=P|p=3	0	root	0	root	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	5	1	8	present	5	8	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	l'	le	DET	DET	n=s	4	det	4	det	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	9	1	11	_	9	11	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	histoire	histoire	NC	NC	n=s|g=f	2	obj	2	obj	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	11	1	19	_	11	19	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	d'	de	P	P		2	mod	2	mod	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	20	1	22	_	20	22	_	_	_	_	_	_	_	_	_	_	_	_	_	_
6	une	une	DET	DET	n=s|g=f	8	det	8	det	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	22	1	25	_	22	25	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	22-37	_	_	_	_	_	_
7	jeune	jeune	ADJ	ADJ	n=s	8	mod	8	mod	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	26	1	31	_	26	31	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	22-37	_	_	_	_	_	_
8	fille	fille	NC	NC	n=s|g=f	5	prep	5	prep	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	32	1	37	_	32	37	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	22-37	_	_	_	_	_	_
9	.	.	PONCT	PONCT		8	ponct	8	ponct	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	37	1	38	_	37	38	_	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Elle	elle	CLS	CLS	n=s|g=f|p=3	2	suj	2	suj	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	39	1	43	_	39	43	consigne	subst	39-40	_	_	_	is_GNon_incertDNon_incertRNon	39-43	_	_	_	_	_	_
2	habitait	habiter	V	V	n=s|t=I|p=3	0	root	0	root	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	44	1	52	imparfait	44	52	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
3	dans	dans	P	P		2	mod	2	mod	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	53	1	57	_	53	57	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
4	cette	cette	DET	DET	n=s|g=f	5	det	5	det	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	58	1	63	_	58	63	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
5	maison	maison	NC	NC	n=s|g=f	3	prep	3	prep	CO-3e-2016-VTAC305-D1-R11-V1_N.ac	1	64	1	70	_	64	70	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
