1	Une	une	DET	DET	n=s|g=f	2	det	2	det	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	1	1	1	4	_	1	4	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	soirée	soirée	NC	NC	n=s|g=f	0	_	0	_	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	1	5	1	11	_	5	11	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	en	en	P	P		2	dep	2	dep	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	1	12	1	14	_	12	14	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	folie	folie	NC	NC	n=s|g=f	3	prep	3	prep	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	1	15	1	20	_	15	20	_	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Il	il	CLS	CLS	n=s|g=m|p=3	2	suj	2	suj	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	1	2	3	_	20	22	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	était	être	V	V	n=s|t=I|p=3	0	root	0	root	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	4	2	9	imparfait	23	28	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	une	une	DET	DET	n=s|g=f	4	det	4	det	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	10	2	13	_	29	32	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	fois	fois	NC	NC	g=f	2	obj	2	obj	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	14	2	18	_	33	37	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	une	une	DET	DET	n=s|g=f	6	det	6	det	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	19	2	22	_	38	41	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	38-47	_	_	_	_	_	_
6	fille	fille	NC	NC	n=s|g=f	2	mod	2	mod	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	23	2	28	_	42	47	_	_	_	_	_	_	in_GNon_incertDNon_incertRNon	38-47	_	_	_	_	_	_
7	qui	qui	PROREL	PROREL	n=s	8	suj	8	suj	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	29	2	32	_	48	51	_	_	_	_	_	_	is_GNon_incertDNon_incertRNon	48-51	_	_	_	_	_	_
8	vivait	vivre	V	V	n=s|t=I|p=3	6	mod_rel	6	mod_rel	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	33	2	39	imparfait	52	58	_	_	_	Err	viver	52-58	_	_	_	_	_	_	_	_
9	dans	dans	P	P		8	mod	8	mod	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	40	2	44	_	59	63	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	une	une	DET	DET	n=s|g=f	12	det	12	det	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	45	2	48	_	64	67	_	_	_	_	_	_	_	_	_	_	_	_	_	_
11	petite	petit	ADJ	ADJ	n=s|g=f	12	mod	12	mod	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	49	2	55	_	68	74	_	add	70-70	_	_	_	_	_	_	_	_	_	_	_
12	maison	maison	NC	NC	n=s|g=f	9	prep	9	prep	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	56	2	62	_	75	81	_	_	_	_	_	_	_	_	_	_	_	_	_	_
13	.	.	PONCT	PONCT		12	ponct	12	ponct	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	62	2	63	_	81	82	_	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Elle	elle	CLS	CLS	n=s|g=f|p=3	2	suj	2	suj	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	64	2	68	_	83	87	consigne	_	_	_	_	_	is_GNon_incertDNon_incertRNon	83-87	_	_	_	_	_	_
2	habitait	habiter	V	V	n=s|t=I|p=3	0	root	0	root	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	69	2	77	imparfait	88	96	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
3	dans	dans	P	P		2	mod	2	mod	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	78	2	82	_	97	101	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
4	cette	cette	DET	DET	n=s|g=f	5	det	5	det	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	83	2	88	_	102	107	consigne	_	_	Err	maison	102-114	_	_	_	_	_	_	_	_
5	maison	maison	NC	NC	n=s|g=f	3	prep	3	prep	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	89	2	95	_	108	114	consigne	_	_	Err	maison	102-114	_	_	_	_	_	_	_	_
6	depuis	depuis	P	P		2	mod	2	mod	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	96	2	102	_	115	121	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
7	longtemps	longtemps	ADV	ADV		6	mod	6	mod	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	103	2	112	_	122	131	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
8	.	.	PONCT	PONCT		7	ponct	7	ponct	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	112	2	113	_	131	132	consigne	_	_	_	_	_	_	_	_	_	_	_	_	_
"
"
1	Un	un	DET	DET	n=s|g=m	2	det	2	det	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	114	2	116	_	133	135	_	_	_	_	_	_	_	_	_	_	_	_	_	_
2	jour	jour	NC	NC	n=s|g=m	6	mod	6	mod	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	117	2	121	_	136	140	_	_	_	_	_	_	_	_	_	_	_	_	_	_
3	il	il	CLS	CLS	n=s|g=m|p=3	6	suj	6	suj	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	122	2	124	_	141	143	_	_	_	_	_	_	_	_	_	_	_	_	_	_
4	y	y	CLO	CLO		6	aff	6	aff	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	125	2	126	_	144	145	_	_	_	_	_	_	_	_	_	_	_	_	_	_
5	a	avoir	V	V	n=s|t=P|p=3	6	aux_tps	6	aux_tps	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	127	2	128	present	146	147	_	_	_	_	_	_	_	_	_	_	_	_	_	_
6	eu	avoir	VPP	VPP	n=s|g=m|t=K	0	root	0	root	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	129	2	131	_	148	150	_	_	_	_	_	_	_	_	_	_	_	_	_	_
7	une	une	DET	DET	n=s|g=f	9	det	9	det	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	132	2	135	_	151	154	_	_	_	_	_	_	_	_	_	_	_	_	_	_
8	grosse	gros	ADJ	ADJ	n=s|g=f	9	mod	9	mod	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	136	2	142	_	155	161	_	_	_	_	_	_	_	_	_	_	_	_	_	_
9	tornade	tornade	NC	NC	n=s|g=f	6	obj	6	obj	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	143	2	150	_	162	169	_	_	_	_	_	_	_	_	_	_	_	_	_	_
10	,	,	PONCT	PONCT		9	ponct	9	ponct	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	150	2	151	_	169	170	_	_	_	_	_	_	_	_	_	_	_	_	_	_
11	la	la	DET	DET	n=s|g=f	12	det	12	det	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	152	2	154	_	171	173	_	_	_	_	_	_	_	_	_	_	_	_	_	_
12	tornade	tornade	NC	NC	n=s|g=f	13	suj	13	suj	EC-CM2-2016-MQRVX-D1-R6-V1_N.ac	2	155	2	162	_	174	181	_	_	_	_	_	_	_	_	_	_	_	_	_	_
